epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.713,1.54574,1.54878,1.48398,0.5338,0.38687,0.40052,0.21538,1.68163,1.68648,1.56729,0.000222054,0.000222054,0.000222054
2,528.85,1.50453,1.26527,1.47239,0.51841,0.43496,0.45929,0.23051,1.72561,1.56761,1.62861,0.000439988,0.000439988,0.000439988
3,779.057,1.48381,1.2186,1.46371,0.53581,0.45438,0.47228,0.25036,1.67527,1.67147,1.59415,0.00065352,0.00065352,0.00065352
4,1025.49,1.4437,1.14496,1.43427,0.41912,0.54892,0.49975,0.26033,1.61969,1.51207,1.54476,0.00064719,0.00064719,0.00064719
5,1271.09,1.39045,1.0437,1.39595,0.61442,0.47429,0.5746,0.29828,1.62528,1.48948,1.55768,0.000640587,0.000640587,0.000640587
6,1515.14,1.35945,0.99677,1.36878,0.53977,0.61162,0.5896,0.32626,1.62662,1.43855,1.54135,0.000633983,0.000633983,0.000633983
7,1760.27,1.3473,0.97043,1.36746,0.66109,0.47682,0.52551,0.28655,1.64388,1.47744,1.55448,0.00062738,0.00062738,0.00062738
8,2046.2,1.32089,0.93697,1.34725,0.51617,0.5578,0.56144,0.31103,1.58179,1.34448,1.51406,0.000620777,0.000620777,0.000620777
9,2306.89,1.29526,0.89699,1.32303,0.60827,0.55984,0.59083,0.33068,1.60588,1.33113,1.52771,0.000614174,0.000614174,0.000614174
10,2578.55,1.27449,0.87588,1.31872,0.55968,0.58446,0.59416,0.32947,1.62825,1.35689,1.5351,0.00060757,0.00060757,0.00060757
11,2847.35,1.25546,0.83875,1.30051,0.60568,0.61586,0.61263,0.35049,1.5987,1.36918,1.51642,0.000600967,0.000600967,0.000600967
12,3106.64,1.2437,0.82911,1.29873,0.62012,0.50505,0.60497,0.34503,1.58601,1.33713,1.53293,0.000594364,0.000594364,0.000594364
13,3357.38,1.22485,0.8139,1.28524,0.64123,0.61354,0.63506,0.35939,1.5739,1.36376,1.51055,0.00058776,0.00058776,0.00058776
14,3602.38,1.20656,0.79167,1.27547,0.56399,0.58912,0.63499,0.35719,1.59401,1.30493,1.5302,0.000581157,0.000581157,0.000581157
15,3852.7,1.19078,0.77428,1.26487,0.65065,0.60493,0.64026,0.36691,1.59054,1.25574,1.52745,0.000574554,0.000574554,0.000574554
16,4105.96,1.17949,0.76369,1.25693,0.61047,0.60047,0.61929,0.35331,1.56851,1.24362,1.51947,0.00056795,0.00056795,0.00056795
17,4359.22,1.17612,0.75168,1.25829,0.59075,0.60965,0.60086,0.34605,1.60228,1.36379,1.53995,0.000561347,0.000561347,0.000561347
18,4613.23,1.15787,0.72246,1.24134,0.58686,0.59336,0.60807,0.34375,1.63962,1.43539,1.5722,0.000554744,0.000554744,0.000554744
19,4863.31,1.14027,0.71662,1.23746,0.60821,0.59928,0.57697,0.33044,1.56405,1.33249,1.52891,0.000548141,0.000548141,0.000548141
20,5112.79,1.13,0.69618,1.22436,0.6346,0.56147,0.61782,0.34952,1.63932,1.45249,1.5828,0.000541537,0.000541537,0.000541537
21,5359.34,1.12079,0.69382,1.22356,0.56923,0.58821,0.58718,0.33459,1.63635,1.35092,1.57843,0.000534934,0.000534934,0.000534934
22,5609.4,1.11273,0.68463,1.21843,0.6522,0.56052,0.60614,0.34527,1.63087,1.40424,1.58133,0.000528331,0.000528331,0.000528331
23,5863.7,1.10071,0.669,1.20732,0.59501,0.60463,0.59242,0.35017,1.62946,1.37141,1.58502,0.000521727,0.000521727,0.000521727
24,6118.25,1.086,0.66142,1.19958,0.63146,0.63278,0.6145,0.34471,1.62888,1.30656,1.60907,0.000515124,0.000515124,0.000515124
25,6374.78,1.0712,0.64262,1.19509,0.67073,0.57168,0.62588,0.3565,1.61619,1.3599,1.57694,0.000508521,0.000508521,0.000508521
